,Country,Latitude,Longitude,Tokens
0,Australia,-25.274398,133.775136,"{vs, ireland, last, wins, days, australias, get, cases, cash, win}"
1,China,35.86166,104.195397,"{students, back, us, production, july, people, allow, indian, long, would}"
2,Thailand,15.870032,100.992541,"{news, final, please, follow, twitter, new, retweet, support, visit, day}"
3,Brazil,-14.235004,-51.92528,"{art, become, deer, started, fans, get, likes, provide, selling, social}"
4,India,20.593684,78.96288,"{vs, indian, make, good, thomas, wheat, cricket, bihar, mosques, expanding}"
5,UK,55.378051,-3.435973,"{via, amazon, compatible, eyes, financial, tablet, make, one, good, im}"
6,HongKong,22.396428,114.109497,"{listen, radio, live, playing, bad, donna, week, impresa, ccp, hot}"
7,Indonesia,-0.789275,113.921327,"{wonwoo, south, top, right, streaming, box, feat, july, save, left}"
8,Italy,41.87194,12.56738,"{gulf, kanawut, beat, love, views, trending, john, croatia, sean, go}"
9,SriLanka,7.873054,80.771797,"{next, invasion, sri, stay, writes, bribery, struggles, take, way, lanka}"
10,SaudiArabia,23.885942,45.079162,"{oil, antarctica, wants, buy, crown, blessed, creepy, east, middle, princes}"
11,Syria,34.802075,38.996815,"{pfi, fake, joined, november, possibly, members, moving, support, time, vs}"
12,Taiwan,23.69781,120.960515,"{invasion, roc, via, ccp, formed, right, chinese, hong, fr, group}"
13,Iran,32.427908,53.688046,"{raw, security, ambassador, nk, ansari, americans, israel, america, last, latest}"
14,Iceland,64.963051,-19.020835,"{experience, like, aviation, beautiful, rebecka, france, new, making, spot, stadium}"
15,Netherlands,52.132633,5.291266,"{get, like, confiscation, see, feel, unmarried, moment, parents, yumiastrid, dm}"
16,Pakistan,30.375321,69.345116,"{pak, good, imran, fuel, wheat, nota, test, system, want, runs}"
17,Ukraine,48.379433,31.16558,"{war, military, july, keep, forces, going, ended, nazis, putin, losses}"
18,Venezuela,6.42375,-66.58973,"{help, im, dogs, blockade, need, accounts, venezuelan, blocking, cancer, needing}"
19,Vietnam,14.058324,108.277199,"{philippines, latest, chÃ o, every, asian, asean, box, buá»•i, detection, one}"
20,Iraq,33.223191,43.679291,"{cinema, city, indian, war, actor, us, journalists, featured, world, blinken}"
21,USA,37.09024,-95.712891,"{law, anderson, firm, pittman, robbed, steve, production, us, made, best}"
22,Afghanistan,33.93911,67.709953,"{like, meaning, india, clear, make, mission, pfis, girls, denying, still}"
23,Canada,56.130366,-106.346771,"{best, shop, life, canadas, free, sea, summer, severe, low, amazing}"
24,Germany,51.165691,10.451526,"{views, fermented, trending, july, im, radio, horny, yen, battle, mintwave}"
25,Israel,31.046051,34.851612,"{america, calls, bidens, times, biden, since, east, middle, police, israeli}"
26,Japan,36.204824,138.252924,"{japan, song, best, super, listen, ost, shazam, tuna, viral, jin}"
27,Russia,61.52401,105.318756,"{using, must, crisis, men, ukraine, war, blinken, ended, via, fell}"
28,Singapore,1.352083,103.819836,"{game, zhi, yi, wang, views, live, trending, sindhu, bw, regulations}"
29,Turkey,38.963745,35.243322,"{beat, would, group, furniture, sagist, wrong, croatia, factory, leader, villa}"
30,Yemen,15.552727,48.516388,"{arabia, saudi, war, colors, guess, yemeni, ministry, foreign, blinken, people}"
31,Bangladesh,23.684994,90.356331,"{vs, indies, series, hindu, odi, west, houses, retirement, tamim, people}"
32,NewZealand,-40.900557,174.885971,"{police, radio, mintwave, zealand, canterbury, good, last, petrol, government, ive}"
33,Qatar,25.354826,51.183884,"{massage, doha, home, ğ‰ğ”ğ’ğ“ğˆğ‚ğ„, obey, world, ğˆğğ“ğ„ğ‘ğğ€ğ“ğˆğğğ€ğ‹, ğƒğ€ğ˜, even, team}"
34,NorthKorea,40.339852,127.510093,"{one, north, korean, asia, trump, confessed, despised, dictatorships, feared, lovely}"
35,Mexico,23.634501,-102.552784,"{new, like, best, border, cpa, international, mx, billion, club, dont}"
36,SouthKorea,35.907757,127.766922,"{shame, bonds, illegal, shut, bid, exempt, feared, interest, minister, monetary}"
37,CzechRepublic,49.817492,15.472962,"{good, shooted, ostrava, colours}"
